,Laki-laki,,,,,,,,,,Perempuan,,,,,,,,,,Total,,,,,,,,,,Laki-laki,,,,,,,,,,Perempuan,,,,,,,,,,Total,,,,,,,,,,Laki-laki,,,,,,,,,,Perempuan,,,,,,,,,,Total,,,,,,,,,
,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total
50-54,56942.00,183241.00,1242177.00,805035.00,1758547.00,129639.00,453369.00,3755.00,64277.00,4696982.00,104798.00,284137.00,1600447.00,765275.00,1392544.00,143671.00,401780.00,3174.00,33818.00,4729646.00,161740.00,467379.00,2842624.00,1570310.00,3151091.00,273310.00,855149.00,6929.00,98095.00,9426628.00,165363.00,318638.00,1719985.00,596343.00,611994.00,24780.00,98967.00,743.00,6920.00,3543732.00,248601.00,457925.00,1923009.00,435420.00,347929.00,24490.00,88802.00,1165.00,2579.00,3529920.00,413964.00,776563.00,3642994.00,1031763.00,959922.00,49270.00,187769.00,1908.00,9499.00,7073652.00,222305.00,501879.00,2962163.00,1401378.00,2370541.00,154419.00,552336.00,4497.00,71196.00,8240714.00,353400.00,742062.00,3523455.00,1200696.00,1740473.00,168162.00,490582.00,4339.00,36398.00,8259566.00,575704.00,1243941.00,6485618.00,2602073.00,4111014.00,322580.00,1042918.00,8837.00,107594.00,16500280.00
55-59,79505.00,230847.00,1275071.00,548266.00,1223818.00,102093.00,401348.00,3568.00,68656.00,3933173.00,158696.00,382360.00,1634092.00,494003.00,863373.00,107960.00,325265.00,2570.00,29976.00,3998294.00,238201.00,613207.00,2909163.00,1042269.00,2087191.00,210053.00,726613.00,6138.00,98632.00,7931467.00,199686.00,378036.00,1599046.00,341863.00,371771.00,23375.00,90940.00,770.00,6357.00,3011843.00,312784.00,547137.00,1695164.00,210688.00,162240.00,19941.00,67464.00,392.00,2094.00,3017905.00,512470.00,925173.00,3294210.00,552551.00,534011.00,43317.00,158404.00,1162.00,8451.00,6029748.00,279191.00,608883.00,2874117.00,890129.00,1595589.00,125469.00,492288.00,4337.00,75013.00,6945016.00,471480.00,929497.00,3329256.00,704691.00,1025613.00,127901.00,392729.00,2962.00,32070.00,7016199.00,750671.00,1538380.00,6203373.00,1594820.00,2621202.00,253370.00,885017.00,7300.00,107083.00,13961215.00
60-64,97461.00,267453.00,1245169.00,387056.00,694631.00,76747.00,253636.00,2698.00,51487.00,3076338.00,189721.00,416079.00,1430243.00,357117.00,476492.00,72595.00,180335.00,1981.00,18693.00,3143255.00,287182.00,683532.00,2675412.00,744173.00,1171123.00,149342.00,433971.00,4678.00,70180.00,6219593.00,212745.00,393897.00,1367947.00,203664.00,159061.00,18482.00,50563.00,661.00,2594.00,2409613.00,343257.00,533917.00,1332531.00,118327.00,62883.00,12051.00,28028.00,431.00,893.00,2432318.00,556001.00,927813.00,2700478.00,321991.00,221944.00,30533.00,78591.00,1091.00,3487.00,4841931.00,310205.00,661350.00,2613116.00,590720.00,853692.00,95229.00,304199.00,3358.00,54081.00,5485951.00,532978.00,949995.00,2762774.00,475444.00,539375.00,84646.00,208363.00,2411.00,19586.00,5575573.00,843183.00,1611345.00,5375890.00,1066164.00,1393068.00,179875.00,512562.00,5770.00,73667.00,11061524.00
65-69,90564.00,231599.00,950012.00,286797.00,453049.00,55243.00,148324.00,1453.00,29799.00,2246840.00,180338.00,351843.00,1047190.00,263833.00,340344.00,57900.00,84524.00,1294.00,8829.00,2336094.00,270902.00,583443.00,1997202.00,550630.00,793393.00,113143.00,232848.00,2747.00,38628.00,4582935.00,182517.00,337270.00,1003216.00,137571.00,92000.00,14473.00,20582.00,294.00,1144.00,1789067.00,312367.00,455406.00,928776.00,74849.00,37560.00,8437.00,9213.00,230.00,450.00,1827289.00,494885.00,792676.00,1931992.00,212420.00,129560.00,22910.00,29794.00,524.00,1594.00,3616355.00,273081.00,568869.00,1953228.00,424368.00,545049.00,69716.00,168906.00,1747.00,30943.00,4035907.00,492706.00,807250.00,1975966.00,338681.00,377904.00,66337.00,93737.00,1524.00,9279.00,4163383.00,765787.00,1376119.00,3929194.00,763049.00,922953.00,136053.00,262642.00,3271.00,40222.00,8199290.00
70-74,78051.00,175263.00,583725.00,153940.00,248022.00,37491.00,74867.00,1155.00,14214.00,1366727.00,174728.00,268756.00,642295.00,145121.00,182554.00,36066.00,39656.00,887.00,4440.00,1494503.00,252779.00,444019.00,1226020.00,299062.00,430576.00,73557.00,114523.00,2042.00,18654.00,2861231.00,157865.00,251651.00,618391.00,67121.00,48789.00,10278.00,9148.00,36.00,377.00,1163658.00,287287.00,347920.00,549938.00,31949.00,17404.00,6666.00,3101.00,173.00,341.00,1244779.00,445152.00,599570.00,1168329.00,99070.00,66193.00,16945.00,12249.00,209.00,718.00,2408436.00,235916.00,426914.00,1202116.00,221061.00,296811.00,47769.00,84016.00,1191.00,14591.00,2530385.00,462015.00,616675.00,1192233.00,177071.00,199958.00,42732.00,42756.00,1060.00,4781.00,2739282.00,697931.00,1043589.00,2394349.00,398132.00,496769.00,90501.00,126772.00,2251.00,19372.00,5269667.00
75+,113674.00,191802.00,501418.00,108138.00,167394.00,31662.00,54868.00,1616.00,8959.00,1179531.00,300957.00,341448.00,612938.00,117761.00,140705.00,20098.00,25936.00,817.00,2753.00,1563413.00,414631.00,533250.00,1114356.00,225900.00,308099.00,51760.00,80804.00,2433.00,11711.00,2742944.00,195877.00,268169.00,505781.00,38877.00,33204.00,6141.00,4753.00,250.00,330.00,1053383.00,430656.00,396406.00,468508.00,22233.00,12965.00,1413.00,1280.00,95.00,151.00,1333706.00,626534.00,664575.00,974289.00,61110.00,46169.00,7553.00,6033.00,345.00,481.00,2387089.00,309551.00,459971.00,1007199.00,147016.00,200599.00,37802.00,59621.00,1867.00,9289.00,2232914.00,731614.00,737854.00,1081446.00,139994.00,153670.00,21511.00,27216.00,911.00,2903.00,2897119.00,1041165.00,1197825.00,2088645.00,287009.00,354269.00,59313.00,86837.00,2778.00,12192.00,5130033.00
Total,2544520.00,9841821.00,15242101.00,12379806.00,24819538.00,1603570.00,5116678.00,42306.00,483971.00,72074311.00,3056223.00,10158627.00,16445542.00,12301987.00,21267382.00,2167353.00,5281246.00,50090.00,308476.00,71036925.00,5600743.00,20000448.00,31687643.00,24681792.00,46086921.00,3770923.00,10397924.00,92395.00,792447.00,143111236.00,3299705.00,9748172.00,18652984.00,11084846.00,11388812.00,406541.00,1372714.00,9818.00,47540.00,56011132.00,4069985.00,10120207.00,18721516.00,10279976.00,9044924.00,639601.00,1636072.00,14021.00,30677.00,54556980.00,7369689.00,19868380.00,37374500.00,21364822.00,20433736.00,1046142.00,3008786.00,23839.00,78217.00,110568112.00,5844225.00,19589994.00,33895084.00,23464652.00,36208350.00,2010110.00,6489392.00,52123.00,531511.00,128085443.00,7126207.00,20278834.00,35167058.00,22581963.00,30312307.00,2806954.00,6917317.00,64111.00,339153.00,125593905.00,12970433.00,39868828.00,69062143.00,46046615.00,66520657.00,4817065.00,13406709.00,116235.00,870664.00,253679348.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
